seme;posto;giocatore;pv;strategia;sopra;quota_max;costruiti;lampo;cultura;rendita;monumenti;verticalita;continuita;scavo;scheletri;eredita;effetti_finali;piano;centro_attivato;oro_centro
700000;1;2;121;scavo;9;4;13;17;1;29;4;39;9;15;5;0;2;0;0;6
700000;2;1;75;lampo;3;4;13;27;0;5;0;19;12;11;0;0;1;0;4;2
700000;3;0;74;rendita;5;4;9;2;0;21;4;29;6;3;0;4;5;0;2;6
700001;1;1;132;scavo;6;5;13;16;0;32;0;46;14;18;0;4;2;0;1;2
700001;2;0;97;lampo;3;2;14;19;0;38;5;16;12;7;0;0;0;0;0;0
700001;3;2;81;verticale;9;5;10;12;0;10;4;29;7;15;0;4;0;0;1;2
700002;1;1;121;verticale;9;5;11;16;1;30;0;40;12;10;2;0;10;0;0;0
700002;2;2;79;bilanciata;7;4;10;9;2;9;4;32;6;8;5;4;0;0;0;0
700002;3;0;65;scavo;6;4;11;14;2;4;0;21;4;7;5;5;3;0;0;0
700003;1;1;71;bilanciata;3;4;8;10;2;34;0;16;2;4;3;0;0;0;1;2
700003;2;2;62;obiettivi;3;4;6;6;3;5;5;20;7;4;8;4;0;0;1;2
700003;3;0;47;verticale;6;3;8;9;0;6;4;14;7;4;3;0;0;0;0;0
700004;1;0;77;bilanciata;5;4;7;7;1;26;8;24;4;4;3;0;0;0;2;5
700004;2;2;74;rendita;5;4;10;10;1;22;0;25;7;4;5;0;0;0;2;4
700004;3;1;59;obiettivi;6;3;10;8;0;6;0;23;6;12;0;4;0;0;1;1
700005;1;1;106;rendita;6;5;12;5;0;32;0;38;12;6;0;5;8;0;1;4
700005;2;2;93;lampo;7;5;12;16;0;17;5;32;9;4;5;0;5;0;0;4
700005;3;0;65;obiettivi;5;4;8;12;2;21;0;22;2;5;0;0;1;0;3;4
700006;1;0;78;rendita;3;3;7;5;2;37;8;12;7;5;0;0;2;0;0;0
700006;2;1;50;lampo;4;2;10;13;0;10;0;14;9;0;4;0;0;0;0;1
700006;3;2;45;scavo;5;3;11;10;0;0;0;16;12;7;0;0;0;0;1;1
700007;1;2;101;verticale;7;4;9;7;2;22;0;38;11;4;12;4;1;0;3;4
700007;2;0;92;lampo;3;4;12;21;1;31;0;18;9;5;0;4;3;0;4;7
700007;3;1;87;scavo;7;5;13;15;0;8;4;27;9;14;0;4;6;0;0;5
700008;1;1;113;verticale;7;4;10;16;1;20;4;47;9;9;0;4;3;0;2;3
700008;2;2;90;bilanciata;4;3;13;14;0;30;0;21;12;3;5;5;0;0;0;0
700008;3;0;86;scavo;5;4;10;13;1;23;0;20;9;9;0;5;6;0;1;3
700009;1;1;105;bilanciata;5;5;8;8;1;24;9;35;8;0;14;4;2;0;3;5
700009;2;2;97;obiettivi;2;2;7;8;1;54;0;6;10;6;0;4;8;0;1;5
700009;3;0;53;verticale;5;5;9;10;0;4;0;18;10;4;7;0;0;0;1;2
700010;1;0;117;bilanciata;5;3;9;16;5;42;8;28;5;2;4;0;7;0;2;12
700010;2;1;80;obiettivi;4;3;9;10;0;20;0;12;15;13;10;0;0;0;4;4
700010;3;2;78;rendita;3;3;7;5;1;28;0;17;11;7;5;4;0;0;6;10
700011;1;1;132;rendita;5;5;9;12;3;42;4;42;9;5;2;4;9;0;1;4
700011;2;0;83;obiettivi;5;3;10;3;2;32;0;18;14;9;5;0;0;0;3;5
700011;3;2;59;lampo;7;4;10;21;0;0;4;11;4;14;5;0;0;0;1;1
700012;1;2;132;scavo;6;4;11;15;1;36;0;35;9;12;5;5;14;0;2;8
700012;2;0;92;rendita;6;4;10;4;1;29;4;25;10;8;7;4;0;0;3;7
700012;3;1;77;lampo;5;4;12;29;1;0;4;19;10;12;0;0;2;0;3;5
700013;1;0;121;lampo;6;5;13;28;0;22;0;39;11;14;0;4;3;0;1;1
700013;2;2;100;verticale;7;4;11;13;0;23;0;37;14;4;5;4;0;0;0;0
700013;3;1;62;scavo;5;3;11;10;0;22;0;17;4;9;0;0;0;0;0;1
700014;1;1;150;verticale;7;5;11;14;7;41;4;47;10;10;0;4;13;0;1;6
700014;2;0;93;scavo;6;5;13;10;0;30;0;27;12;5;0;5;4;0;3;6
700014;3;2;70;bilanciata;7;5;9;15;0;0;4;24;5;13;9;0;0;0;2;2
700015;1;0;99;verticale;6;5;9;11;1;29;5;27;9;5;5;4;3;0;0;4
700015;2;2;74;obiettivi;5;5;11;19;0;0;4;28;9;7;7;0;0;0;0;0
700015;3;1;69;bilanciata;3;3;6;4;2;38;0;18;4;0;2;0;1;0;4;4
700016;1;1;104;obiettivi;3;3;8;6;1;54;0;20;7;3;0;5;8;0;4;7
700016;2;0;97;bilanciata;5;3;10;14;2;25;4;19;17;6;2;0;8;0;1;7
700016;3;2;61;rendita;3;4;7;11;0;14;0;14;4;5;5;0;8;0;2;3
700017;1;0;101;obiettivi;7;4;10;14;0;27;0;33;11;5;5;5;1;0;2;5
700017;2;1;95;rendita;3;4;11;8;1;36;0;26;8;6;0;4;6;0;3;6
700017;3;2;81;lampo;5;3;11;22;0;3;4;12;7;20;9;4;0;0;1;2
700018;1;0;102;rendita;3;3;9;5;1;56;9;17;6;2;0;0;6;0;2;4
700018;2;1;81;lampo;6;3;9;17;1;20;0;25;12;2;3;0;1;0;2;3
700018;3;2;43;scavo;2;2;9;11;4;1;0;7;4;13;0;0;3;0;0;1
700019;1;1;70;scavo;5;3;13;5;0;16;5;24;17;3;0;0;0;0;2;4
700019;2;0;66;lampo;3;4;10;22;0;9;0;18;9;8;0;0;0;0;1;2
700019;3;2;63;verticale;6;4;8;6;2;11;4;30;6;4;0;0;0;0;1;4
700020;1;2;111;bilanciata;6;5;9;15;2;22;0;36;8;14;2;4;8;0;1;3
700020;2;1;93;verticale;6;4;10;11;1;24;4;30;12;5;0;4;2;0;2;3
