# partite=120 giocatori=3 seme_base=100000 bot=strategie verticalita=2/5/9/14 prosperita=3 rovina=3 binari=liberi versione_bot=2 strategie=6 centro=una_per_era
id;nome;era;classi;larghezza;costo_pietra;costo_oro;resistenza;rendita;scavo;lampo_carta;copie;n;ere_intatto;ere_piedi;n_rudere;n_rovina;n_sepolto;n_subito;n_in_piedi_fine;n_intatto_fine;vetusta;potenziamenti;vp;vp_lampo;vp_rendita;vp_verticalita;vp_scavo;vp_scheletri
ed_capanne;Capanne;1;civico;1;1;0;1;0;2;1;1;117;126;194;117;117;79;45;0;0;10;0;456;117;0;139;140;60
ed_dolmen;Dolmen;1;religione;1;2;0;3;1;3;0;1;120;449;506;73;39;25;6;81;78;204;11;1386;0;1236;117;3;30
ed_grotte_dipinte;Grotte dipinte;1;cultura;1;1;0;2;0;6;0;1;48;114;144;47;39;23;1;9;7;43;1;82;0;0;54;28;0
ed_approdo;Approdo;1;commercio;1;1;0;1;0;2;0;1;43;43;80;43;43;23;6;0;0;0;0;108;0;0;46;52;10
ed_menhir;Menhir;1;religione;1;2;0;4;1;3;0;1;119;419;464;81;50;41;7;69;64;206;11;1321;0;1118;127;6;70
ed_palafitte;Palafitte;1;civico;1;1;0;2;0;2;1;1;115;164;251;115;112;77;10;3;1;48;1;421;115;0;146;125;35
ed_cava;Cava;1;commercio;1;1;0;1;0;2;0;1;120;130;210;120;120;86;36;0;0;11;0;360;0;0;146;154;60
ed_focolare_comune;Focolare comune;1;civico;1;1;0;1;0;2;1;1;2;2;4;2;2;1;0;0;0;0;0;6;2;0;2;2;0
ed_trappole_da_pesca;Trappole da pesca;1;ingegneria;1;1;0;1;0;0;0;1;2;2;4;2;2;0;0;0;0;0;0;2;0;0;2;0;0
ed_circolo_di_pietre;Circolo di pietre;1;religione;2;3;0;4;1;5;0;1;120;446;473;67;43;40;5;77;77;213;38;1542;0;1267;240;0;35
ed_villaggio_palizzato;Villaggio palizzato;1;militare;2;2;0;2;0;2;1;1;18;30;37;18;18;17;2;0;0;12;0;110;18;0;45;17;30
ed_tumulo_funerario;Tumulo funerario;1;religione|cultura;2;2;0;3;0;5;1;1;73;182;198;65;58;49;3;15;14;87;1;284;73;0;156;0;55
ed_teatro;Teatro;2;cultura;1;2;0;3;0;5;2;1;73;136;178;72;63;46;2;10;9;51;0;299;146;0;74;59;20
